"Name","Rating","Review","Date"
"Helle","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","Horrifying customer care and service. If you buy a product and something happens with the item, they will not help you to find a solution or provide you with any kind of service. I would never recommend anyone buying anything from this brand. I have never experienced worse service","January 25, 2025"
"Justin Cooke","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","My family and I have bought and worn Canada Goose our entire lives. We did so because of the quality of their product. However, despite their promise that ""Every Canada Goose purchase is fully warranted for the lifetime of the product"" Canada Goose failed to repair one of my jackets, returning it to me with a broken zip. It is so sad to see a brand lose everything it stood for and a multi-generational customer in exchange for short term shareholder value. What is worse are the stock copy and paste platitudes provided by their customer services team as evident by their reply below.","April 09, 2025"
"Nicole","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","I was so excited to have a Canada Goose coat and after much research purchased a Shelburne Parka. It was very expensive but given the lifetime warranty, I felt this was a coat I would have forever. I only wore this coat in extreme cold weather, maybe 10 times a year. I have had the coat for a little over 5 years and it has small holes along the entire length of the seams of both sleeves, on the cuffs and in other areas of the sleeves. The material is such poor quality that it is literally ripping away from the stitching. I have never had a coat do this before. I thought it wouldn’t be a huge issue because of the lifetime warranty. This is clearly a manufacturing defect. I submitted a warranty claim and was told that they will repair the sleeves with “zigzag stitching that will hardly be noticeable.” When you spend $2000 on a coat, the last thing you want is zigzag stitching down both sleeves. I requested a re-inspection but was told this was the only option. I either live with a coat with tears in the sleeves or have noticeable zigzag stitching all along the sleeves. I am so incredibly disappointed in the customer service. Save your money and buy a product whose company stands behind their work and warranty.","April 03, 2025"
"Hayley","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","Case Number: 00888876I spent £1,000 on a Canada Goose coat, believing it came with a lifetime warranty, only to be told that a minor tear was an “accidental tear” and therefore not covered. What’s even more frustrating is that they won’t offer any repair service—paid or otherwise. Instead, they are simply sending the coat back in the same damaged condition.For a company charging thousands of pounds for their products, it’s shocking that they refuse to provide basic repair options. Customer service has been painfully slow, despite the jacket arriving at their warehouse quickly.This whole experience has been frustrating and completely unacceptable for a so-called premium brand. I won’t be buying from Canada Goose again and certainly won’t be recommending them.","April 02, 2025"
"Enzo","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","Excessively poor quality and terrible customer service.My McMillan Parka had excessive pilling on the cuffs after wearing it less than 10 times. Also numerous stiches started to fail.I sent the Parka to be repaired but according to their ""QA Experts"" this was judged as normal wear. I could not beleive my eyes when I read the customer service email. A 1200€ jacket in such a terrible state after wearing it less than 10 days. This has never happened to any jacket I ever wore, even extremely cheap ones.Stay away from this brand, the quality is absolutely terrible and the customer service will not take any accountability of it.","March 31, 2025"
"Ian Cooper","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","Absolutely shocking service and product my jumper fell apart after only wearing a few times I will never shop with Canada goose again. Please don’t reply saying our warranty team have conducted an inspection, as you say this to every review , Canada goose is a joke . Moncler kill you stone dead as they listen and don’t just fob you off with poor feable excusesWhat a surprise the expected reply so why ask me to send it back and then tell me it was never covered in the first place . Absolute joke.","March 26, 2025"
"Kylie Mccafferty","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","I am extremely disappointed with Canada Goose’s warranty process and customer service. I sent in **two items** under their **""lifetime warranty""**, both of which had quality issues, including stitching defects and down that wouldn’t hold loft. After weeks of chasing for updates, I was finally told that both items **only needed dry cleaning**, and I was **charged for this**, despite it being presented as a ""repair.""  This is completely unacceptable for a so-called premium brand. Instead of addressing the **actual quality issues**, Canada Goose **charges customers for dry cleaning and calls it a repair**—no additional fixes, no replacement down, just cleaning. If I had known that the down would **flatten so quickly** and require expensive professional dry cleaning to restore it, I would never have purchased these products.  On top of this, their customer service is **completely unresponsive**—I’ve sent multiple emails and had to **chase every single update**. For the price Canada Goose charges, I expected far better aftercare. **Their ""lifetime warranty"" is misleading, and their support team does not take customer concerns seriously.**  I will be escalating this matter further. **If you’re considering Canada Goose, be aware that their warranty does not cover what you might expect, and you could be charged for basic maintenance while being left with unresolved quality issues.","February 19, 2025"
"Ariana Fitzpatrick","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","Canada Goose won't accept my return because there is a small snag on the inside of the coat; a snag I didn't cause and must have been there when I received it. When I received the coat I tried it on and it didn't fit so I put it back in the box to make the return. I've been working with Canada Goose to try and get them to understand it must have been damaged before I received it but they are unwilling to listen to me and just keep claiming since it's damaged as there's no way a quick try on could have caused the issue but they won't accept the return, basically just keeping my money and leaving me with a product that I can't wear because it doesn't fit and out over $1,000 (nothing to them but quit a bit to me). What's further frustrating is that you can return damaged items if you notice they are damaged with you receive them, so had i just thoroughly inspected the coat when received instead of just the quick try on, I could have sent it back as damaged and wouldn't be in this mess. However, since I didn't do that, in bring accused of causing damage instead of the mindless drones of Canada Goose customer service actually using their brains of other possibilities (IE. That I received it in that condition). This is my first experience purchasing from Canada Goose and I will never do so again. The customer service team has been so rude; it's been a nightmare.","February 08, 2025"
"Consumer","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","Warning be careful with online purchases as refund rejected even though item never worn","March 20, 2025"
"Leona Ribeiro","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","I bought the Canada Goose Paradigm Expedition Parka Black Label for €2,000, expecting top-tier warmth and wind resistance, as advertised for temperatures as low as -30°C. Instead, I can feel the wind at just 10°C. The jacket is supposed to be wind-resistant, yet air cuts right through it.Even worse, when I’m in the car and rest my arm on the armrest, I can feel the cold seeping through the sleeve—proof that the so-called 750-fill power down is more air than insulation. The sleeves feel empty, like they’re barely filled with anything substantial.For the price, I expected real protection against the cold, not just a fancy logo and marketing hype. If you’re looking for a truly warm winter coat, look elsewhere—this one is all style, no function.1/5 stars. Not worth the money.","March 11, 2025"
